omp_MCS_barrier
threads,avg-barrier-time(us)
2,1.0249
3,1.8534
4,3.9536
5,6.4130
6,9.4760
7,17.9825
8,64.3560
9,68.4797
10,157.0614
11,239.1545
12,123.4184
13,155.3612
14,131.6147
15,76.6931
16,100.8157
